"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Australia","AUS","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","18.0328603770202","18.4358213741682","18.1189511125817","21.2441840910365","23.6141229467933","23.5877846747908","24.466770587788","23.6674150500744","23.331478802715","23.5265203400161","23.2592340232235","25.5377251064907","26.4409346502073","26.3916161620446","26.0939976569499","25.6613710479047","24.1659846027927","22.1552404428933","21.7867886023379","23.1342601720631","24.4022412267768","24.9341348055965","25.0561754471566","25.347413103933","24.5253281035586","23.768458548642","21.2905313484218","24.458314671136","23.9865450113958","26.1278789554774","26.3139695255944","25.6619478795292","25.5648080640484","25.513469194006","24.8562631515346","24.401497265035","24.2688866370392","26.3814336455909","26.6185983775997","25.9163709195685","26.0316102583583","25.7719998082551","26.1434698132436","26.6555350269532","26.8782732460928","26.5276169849373","26.1317227432746","26.0711901942783","30.1434988129749","32.5518179379184","27.5833132925557","","","",
"Austria","AUT","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","26.017308675222","27.7206684640299","28.0136006105967","31.2308037352359","31.743492136613","31.5371881469651","33.9848635155293","33.4534561114551","33.6055703900282","34.7013642144294","35.1342511735263","35.5552663857896","35.8455321887831","35.7128777489832","36.4173437028488","37.0005096597999","37.3161039984758","35.8940557964393","35.7312243774238","36.1843390604566","36.8414519091316","38.9088725962769","38.8269963425533","48.8527095033761","48.9670936380334","47.6376462561767","47.3787328552199","47.1823690669959","46.4244332273425","46.8148444061803","46.2826879102055","46.1536982748192","48.9500268699742","46.2539521666493","45.5316465384067","44.2908136763851","44.8763008234169","48.0972422914672","46.7361288145075","45.7857004145268","46.5833364419865","47.2584334360885","47.3819786391457","46.3323461865485","45.553025088735","44.8654197632576","44.1363840597814","43.9069061163649","51.1591725615403","50.0216558788029","47.3641894652228","46.0304036608475","","",
"Azerbaijan","AZE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1976514544969","19.8269659761927","15.807941154944","16.221372257227","18.7678486310527","19.0095414691002","","","","","","","","","18.5077683545439","23.0788028594301","20.8724832214765","18.4783610460428","22.1853838889224","20.9255439826751","22.1009894245612","24.7887090842221","27.1959381185333","27.9587305829867","21.402262398242","24.2843990319453","33.9314765748897","27.1444134965323","23.0088211493834","","","",
"Burundi","BDI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0162153488943","20.7437947032339","24.5436596936314","23.5190672037332","19.9251600008438","17.0307867730901","18.2640023337223","18.987756121939","18.0602217830479","","","","","","","","","","","21.4202292080077","19.9993686877643","17.9838744988147","17.0163454469103","16.9371346579719","20.5457430137858","17.7819630135","17.0212969799643","","14.9114067431833","14.5080048283615","12.2195039446055","","","","",
"Belgium","BEL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5728111336882","45.937622936705","44.697380428065","44.4212071163828","43.8128230398056","42.6348525059249","43.0371850255112","41.4436065241409","42.5564419939957","40.8989362902799","43.5309136698259","40.5934156846885","40.2935344941736","42.1013518104548","44.2375786842218","43.5672983109901","44.5122501817844","45.704833465615","45.341690143058","44.953912538649","41.7110348512049","41.1616434494037","40.1035662028041","39.9416268146679","39.4025048550939","43.656605302545","41.4118090170245","39.7375528029031","","","",
"Benin","BEN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.94393922475686","9.30638470843529","10.179532584478","10.2043369788626","11.2753125531784","12.3129823081145","10.761506058922","11.2287831746703","10.5945968597121","11.0358957782752","12.9214457539664","12.3336649866679","12.8787351779888","13.1974934417641","14.7098212612735","18.4897905554418","17.3707418259823","18.2174288376112","18.017832406322","19.8586086524281","22.7730009405025","19.5686034183856","","",
"Bangladesh","BGD","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.85279247057531","7.88712372772849","7.83605027787651","7.60497659759871","8.1426283401405","8.33493730155715","8.66279314084748","9.42878117115452","9.87158360325856","9.26625106718959","9.84388457755423","9.63853873285246","9.50711961128958","9.50443649145954","9.00588487034226","7.86276813546215","7.63987436772557","7.4941450180451","8.27231587687115","8.14832024557625","8.3242513417429","","","","",
"Bulgaria","BGR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5154855851211","39.3728813559322","39.5488047808765","43.683506189361","43.7151826484018","27.9694624893292","32.0418592508295","26.2258636699595","30.3918686738092","34.4200855682417","33.9941005970514","33.7999982444074","33.1779493160763","34.9141085036207","34.1928556278216","31.4350650952714","29.6121304490211","32.7946577032009","31.8122701168032","33.8382129955994","31.6315388880341","29.8496236412362","30.9132693281019","32.9223988647865","37.9434073102519","34.2858376669531","32.0269320095318","31.9919661067059","33.1587383730676","33.1928032548934","36.4964306105672","37.6984892840966","39.3220138598541","35.7558278676639","","",
"Bahrain","BHR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3026742138974","21.7674324148078","22.9170426686288","22.9974662756303","22.2071345902336","20.5650572366769","19.553420723567","20.0000198931861","21.0570335825454","21.1714087843294","19.9022786964624","20.8411727233671","23.1816720078954","20.8663034055133","19.3691525464864","17.3135983904707","16.2899426398325","16.0054244059101","16.2177650429799","19.7624980144398","18.6739821709387","21.6471133862972","20.8985126699084","22.4686162529477","23.5115457835002","25.3293874440254","24.4996564184373","22.5215503005502","22.4700360043582","21.7538186236849","26.1085121752585","","","","","",
